MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 0.14,-999.00,-999.00, 0.16,-999.00,-999.00,-999.00, 0.17, 0.15, 0.20,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 0.16, 0.19, 0.15,-999.00, 0.16, 0.19, 0.15,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 0.20, 0.15, 0.14,-999.00,-999.00, 0.15, 0.14,-999.00, 0.16, 0.18,-999.00,-999.00
CESM2, 0.21, 0.15,-999.00, 0.13, 0.22, 0.15,-999.00, 0.13, 0.21, 0.19,-999.00,-999.00
CNRM-CM5, 0.22, 0.23, 0.14,-999.00,-999.00, 0.23, 0.14,-999.00, 0.23, 0.27,-999.00,-999.00
CNRM-CM6-1, 0.17,-999.00,-999.00, 0.15,-999.00,-999.00,-999.00, 0.15, 0.18, 0.17,-999.00,-999.00
COSMOS-ASO, 0.62,-999.00, 0.65,-999.00,-999.00,-999.00, 0.66,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 0.19, 0.25,-999.00,-999.00,-999.00, 0.25,-999.00,-999.00, 0.16, 0.19,-999.00,-999.00
CSIRO-Mk3L-1-2, 0.14, 0.12,-999.00,-999.00,-999.00, 0.12,-999.00,-999.00, 0.13,-999.00,-999.00,-999.00
EC-EARTH-2-2, 0.10, 0.12,-999.00,-999.00,-999.00, 0.12,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 0.15, 0.18,-999.00,-999.00,-999.00, 0.18,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 0.20, 0.18,-999.00, 0.17,-999.00, 0.18,-999.00, 0.16, 0.18, 0.18,-999.00,-999.00
FGOALS-g2, 0.16, 0.13, 0.15,-999.00,-999.00, 0.14, 0.15,-999.00, 0.12, 0.11,-999.00,-999.00
FGOALS-g3, 0.18, 0.15,-999.00, 0.13,-999.00, 0.16,-999.00, 0.14,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 0.18, 0.20,-999.00,-999.00,-999.00, 0.19,-999.00,-999.00, 0.13, 0.20,-999.00,-999.00
GISS-E2-1-G, 0.20, 0.21,-999.00, 0.22, 0.22, 0.21,-999.00, 0.22, 0.18, 0.20,-999.00,-999.00
GISS-E2-R, 0.15, 0.13, 0.12,-999.00,-999.00, 0.13, 0.12,-999.00, 0.14, 0.12,-999.00,-999.00
HadCM3, 0.18,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 0.16, 0.17,-999.00,-999.00,-999.00, 0.18,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 0.16, 0.13,-999.00,-999.00,-999.00, 0.13,-999.00,-999.00, 0.16, 0.12,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 0.19,-999.00, 0.14,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 0.09, 0.10, 0.12, 0.10,-999.00, 0.10, 0.12, 0.10, 0.10, 0.08,-999.00,-999.00
IPSL-CM5A-LR, 0.13, 0.14, 0.15,-999.00,-999.00, 0.14, 0.15,-999.00, 0.12, 0.11,-999.00,-999.00
IPSL-CM6A-LR, 0.17, 0.18,-999.00, 0.16, 0.16, 0.18,-999.00, 0.16, 0.15, 0.12,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 0.17, 0.15, 0.18, 0.13,-999.00, 0.15, 0.18, 0.13, 0.25, 0.27,-999.00,-999.00
MIROC-ESM, 0.18, 0.14, 0.16,-999.00,-999.00, 0.15, 0.16,-999.00, 0.09, 0.10,-999.00,-999.00
MPI-ESM1-2-LR, 0.12, 0.12, 0.19, 0.19,-999.00, 0.12,-999.00, 0.19, 0.15, 0.13,-999.00,-999.00
MPI-ESM-P, 0.16, 0.16, 0.17,-999.00,-999.00, 0.16, 0.17,-999.00, 0.15, 0.18,-999.00,-999.00
MRI-CGCM3, 0.13, 0.15, 0.13,-999.00,-999.00, 0.16, 0.13,-999.00, 0.22, 0.17,-999.00,-999.00
MRI-ESM2-0, 0.23, 0.16,-999.00,-999.00,-999.00, 0.16,-999.00,-999.00, 0.22, 0.19,-999.00,-999.00
NESM3, 0.13, 0.15,-999.00, 0.15,-999.00, 0.15,-999.00, 0.15, 0.13, 0.15,-999.00,-999.00
NorESM1-F, 0.14, 0.11,-999.00, 0.11, 0.12, 0.11,-999.00, 0.12,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 0.17, 0.18,-999.00, 0.19,-999.00, 0.18,-999.00, 0.20, 0.24, 0.25,-999.00,-999.00
UofT-CCSM-4, 0.13, 0.11, 0.12,-999.00,-999.00, 0.11, 0.12,-999.00,-999.00,-999.00,-999.00,-999.00
