MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 0.27,-999.00,-999.00, 0.34,-999.00,-999.00,-999.00, 0.30, 0.35, 0.45,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 0.32, 0.43, 0.35,-999.00, 0.32, 0.43, 0.32,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 0.26, 0.31, 0.22,-999.00,-999.00, 0.30, 0.22,-999.00, 0.27, 0.32,-999.00,-999.00
CESM2, 0.23, 0.24,-999.00, 0.28, 0.36, 0.24,-999.00, 0.27, 0.28, 0.33,-999.00,-999.00
CNRM-CM5, 0.26, 0.24, 0.25,-999.00,-999.00, 0.24, 0.25,-999.00, 0.31, 0.30,-999.00,-999.00
CNRM-CM6-1, 0.45,-999.00,-999.00, 0.50,-999.00,-999.00,-999.00, 0.45, 0.37, 0.42,-999.00,-999.00
COSMOS-ASO, 1.05,-999.00, 0.97,-999.00,-999.00,-999.00, 0.97,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 0.31, 0.42,-999.00,-999.00,-999.00, 0.41,-999.00,-999.00, 0.36, 0.38,-999.00,-999.00
CSIRO-Mk3L-1-2, 0.40, 0.45,-999.00,-999.00,-999.00, 0.43,-999.00,-999.00, 0.42,-999.00,-999.00,-999.00
EC-EARTH-2-2, 0.31, 0.27,-999.00,-999.00,-999.00, 0.26,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 0.39, 0.30,-999.00,-999.00,-999.00, 0.30,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 0.39, 0.41,-999.00, 0.36,-999.00, 0.41,-999.00, 0.36, 0.44, 0.51,-999.00,-999.00
FGOALS-g2, 0.26, 0.26, 0.19,-999.00,-999.00, 0.26, 0.19,-999.00, 0.27, 0.38,-999.00,-999.00
FGOALS-g3, 0.30, 0.30,-999.00, 0.28,-999.00, 0.29,-999.00, 0.28,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 0.45, 0.48,-999.00,-999.00,-999.00, 0.48,-999.00,-999.00, 0.56, 0.56,-999.00,-999.00
GISS-E2-1-G, 0.40, 0.46,-999.00, 0.51, 0.48, 0.46,-999.00, 0.51, 0.43, 0.51,-999.00,-999.00
GISS-E2-R, 0.31, 0.29, 0.26,-999.00,-999.00, 0.29, 0.26,-999.00, 0.34, 0.30,-999.00,-999.00
HadCM3, 0.39,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 0.32, 0.30,-999.00,-999.00,-999.00, 0.29,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 0.29, 0.31,-999.00,-999.00,-999.00, 0.31,-999.00,-999.00, 0.35, 0.38,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 0.30,-999.00, 0.25,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 0.17, 0.16, 0.22, 0.22,-999.00, 0.16, 0.22, 0.20, 0.15, 0.11,-999.00,-999.00
IPSL-CM5A-LR, 0.27, 0.22, 0.29,-999.00,-999.00, 0.22, 0.29,-999.00, 0.28, 0.21,-999.00,-999.00
IPSL-CM6A-LR, 0.27, 0.26,-999.00, 0.26, 0.28, 0.26,-999.00, 0.26, 0.40, 0.32,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 0.36, 0.33, 0.29, 0.28,-999.00, 0.33, 0.29, 0.28, 0.60, 0.67,-999.00,-999.00
MIROC-ESM, 0.30, 0.26, 0.34,-999.00,-999.00, 0.26, 0.34,-999.00, 0.28, 0.33,-999.00,-999.00
MPI-ESM1-2-LR, 0.41, 0.38, 0.46, 0.34,-999.00, 0.37,-999.00, 0.32, 0.46, 0.60,-999.00,-999.00
MPI-ESM-P, 0.37, 0.35, 0.32,-999.00,-999.00, 0.35, 0.31,-999.00, 0.38, 0.44,-999.00,-999.00
MRI-CGCM3, 0.31, 0.30, 0.32,-999.00,-999.00, 0.29, 0.32,-999.00, 0.36, 0.34,-999.00,-999.00
MRI-ESM2-0, 0.31, 0.24,-999.00,-999.00,-999.00, 0.24,-999.00,-999.00, 0.34, 0.32,-999.00,-999.00
NESM3, 0.42, 0.32,-999.00, 0.40,-999.00, 0.32,-999.00, 0.39, 0.44, 0.58,-999.00,-999.00
NorESM1-F, 0.22, 0.28,-999.00, 0.29, 0.25, 0.28,-999.00, 0.29,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 0.36, 0.42,-999.00, 0.45,-999.00, 0.43,-999.00, 0.46, 0.42, 0.52,-999.00,-999.00
UofT-CCSM-4, 0.23, 0.25, 0.19,-999.00,-999.00, 0.25, 0.19,-999.00,-999.00,-999.00,-999.00,-999.00
